"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop 20 - 24 years","Pop 25 - 29 years","Pop 30 - 34 years","Pop 35 - 39 years","Average Family Income"
"Yonge-St.Clair",97.0,"N/A",645.0,1355.0,1125.0,900.0,173751.0
"Rosedale-Moore Park",98.0,"N/A",1195.0,1405.0,1150.0,1125.0,249884.0
"Mount Pleasant East",99.0,"N/A",785.0,1040.0,1250.0,1405.0,133977.0
"Yonge-Eglinton",100.0,"N/A",675.0,1080.0,1055.0,885.0,140907.0
"Forest Hill South",101.0,"N/A",820.0,810.0,665.0,585.0,251035.0
"Forest Hill North",102.0,"N/A",780.0,855.0,915.0,975.0,137887.0
"Lawrence Park South",103.0,"N/A",1020.0,790.0,715.0,915.0,216754.0
"Mount Pleasant West",104.0,"N/A",1965.0,4755.0,4125.0,2765.0,89797.0
"Lawrence Park North",105.0,"N/A",660.0,525.0,820.0,1265.0,165131.0
"Humewood-Cedarvale",106.0,"N/A",1095.0,1435.0,1315.0,1195.0,105770.0
"Oakwood Village",107.0,"N/A",1275.0,1500.0,1630.0,1680.0,67809.0
"Briar Hill-Belgravia",108.0,"N/A",890.0,1075.0,1180.0,1115.0,67358.0
"Caledonia-Fairbank",109.0,"N/A",655.0,765.0,785.0,680.0,66257.0
"Keelesdale-Eglinton West",110.0,"N/A",695.0,725.0,760.0,720.0,64857.0
"Rockcliffe-Smythe",111.0,"N/A",1470.0,1515.0,1500.0,1435.0,64271.0
"Beechborough-Greenbrook",112.0,"N/A",455.0,535.0,495.0,425.0,58706.0
"Weston",113.0,"N/A",1270.0,1420.0,1405.0,1255.0,61470.0
"Lambton Baby Point",114.0,"N/A",405.0,435.0,505.0,590.0,122277.0
"Mount Dennis",115.0,"N/A",950.0,1020.0,915.0,855.0,57386.0
"Steeles",116.0,"N/A",1925.0,1905.0,1280.0,1350.0,67732.0
"L'Amoreaux",117.0,"N/A",3125.0,3075.0,2380.0,2790.0,64493.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1765.0,1665.0,1605.0,1850.0,64630.0
"Wexford/Maryvale",119.0,"N/A",1710.0,1620.0,1570.0,1665.0,69418.0
"Clairlea-Birchmount",120.0,"N/A",1575.0,1730.0,1830.0,1780.0,69549.0
"Oakridge",121.0,"N/A",810.0,955.0,1035.0,1010.0,50793.0
"Birchcliffe-Cliffside",122.0,"N/A",1200.0,1115.0,1180.0,1415.0,90256.0
"Cliffcrest",123.0,"N/A",985.0,790.0,695.0,905.0,83694.0
"Kennedy Park",124.0,"N/A",1070.0,1095.0,1070.0,1140.0,58513.0
"Ionview",125.0,"N/A",930.0,975.0,950.0,890.0,57069.0
"Dorset Park",126.0,"N/A",1500.0,1700.0,1740.0,1790.0,60973.0
"Bendale",127.0,"N/A",2085.0,2030.0,1840.0,1905.0,65560.0
"Agincourt South-Malvern West",128.0,"N/A",1630.0,1500.0,1275.0,1360.0,68465.0
"Agincourt North",129.0,"N/A",2165.0,2145.0,1685.0,1715.0,67622.0
"Milliken",130.0,"N/A",2020.0,2055.0,1500.0,1700.0,66372.0
"Rouge",131.0,"N/A",3475.0,3265.0,2865.0,2810.0,86997.0
"Malvern",132.0,"N/A",3485.0,3385.0,2930.0,3005.0,64497.0
"Centennial Scarborough",133.0,"N/A",940.0,650.0,585.0,730.0,102278.0
"Highland Creek",134.0,"N/A",1130.0,1020.0,710.0,585.0,98857.0
"Morningside",135.0,"N/A",1460.0,1250.0,1035.0,990.0,66024.0
"West Hill",136.0,"N/A",1870.0,1600.0,1460.0,1525.0,65871.0
"Woburn",137.0,"N/A",4005.0,3825.0,3835.0,3805.0,63186.0
"Eglinton East",138.0,"N/A",1535.0,1450.0,1485.0,1515.0,57357.0
"Scarborough Village",139.0,"N/A",1220.0,1035.0,1040.0,1045.0,61631.0
"Guildwood",140.0,"N/A",510.0,395.0,395.0,515.0,92858.0
